Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
5,582.944,0.86313,678188,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,582.977,0.786945,678188,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,582.968,0.768383,678188,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,582.927,0.920088,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,582.919,0.919896,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,582.894,0.758638,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,582.986,0.797893,678188,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,582.935,0.891246,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,582.911,0.788867,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,582.903,0.700703,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,582.952,1.03812,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,583.03,0.685866,678188,10,0,1,247.09,940768,0.289,0,15600,16510,2430,1296,1400,2625,1950,1040,5163643,14112870,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,583.022,0.608338,678188,10,0,3,1569.75,735152,0.196,0,11700,16770,7290,972,1050,7875,5850,780,3898774,33085905,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,583.038,0.745262,678188,10,0,1,1651.79,257022,0.159,0,15600,16510,2430,1296,1400,2625,1950,1040,5847389,3856680,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,582.876,0.576047,678188,10,0,4,1311.47,675111,0.133,0,9750,16900,9720,810,875,10500,7800,650,3403697,40512060,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,583.014,0.720542,678188,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,582.944,0.86313,678188,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,582.977,0.786945,678188,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,582.968,0.768383,678188,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,582.927,0.920088,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,582.919,0.919896,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,582.894,0.758638,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,582.986,0.797893,678188,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,582.935,0.891246,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,582.911,0.788867,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,582.903,0.700703,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,582.952,1.03812,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,583.03,0.685866,678188,10,0,1,247.09,940768,0.289,0,15600,16510,2430,1296,1400,2625,1950,1040,5163643,14112870,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,583.022,0.608338,678188,10,0,3,1569.75,735152,0.196,0,11700,16770,7290,972,1050,7875,5850,780,3898774,33085905,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,583.038,0.745262,678188,10,0,1,1651.79,257022,0.159,0,15600,16510,2430,1296,1400,2625,1950,1040,5847389,3856680,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,582.876,0.576047,678188,10,0,4,1311.47,675111,0.133,0,9750,16900,9720,810,875,10500,7800,650,3403697,40512060,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,583.014,0.720542,678188,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,582.944,0.86313,678188,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,582.977,0.786945,678188,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,582.968,0.768383,678188,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,582.927,0.920088,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,582.919,0.919896,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,582.894,0.758638,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,582.986,0.797893,678188,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,582.935,0.891246,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,582.911,0.788867,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,582.903,0.700703,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,582.952,1.03812,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,583.03,0.685866,678188,10,0,1,247.09,940768,0.289,0,15600,16510,2430,1296,1400,2625,1950,1040,5163643,14112870,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,583.022,0.608338,678188,10,0,3,1569.75,735152,0.196,0,11700,16770,7290,972,1050,7875,5850,780,3898774,33085905,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,583.038,0.745262,678188,10,0,1,1651.79,257022,0.159,0,15600,16510,2430,1296,1400,2625,1950,1040,5847389,3856680,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,582.876,0.576047,678188,10,0,4,1311.47,675111,0.133,0,9750,16900,9720,810,875,10500,7800,650,3403697,40512060,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,583.014,0.720542,678188,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,582.944,0.86313,678188,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,582.977,0.786945,678188,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,582.968,0.768383,678188,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,582.927,0.920088,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,582.919,0.919896,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,582.894,0.758638,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,582.986,0.797893,678188,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,582.935,0.891246,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,582.911,0.788867,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,582.903,0.700703,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,582.952,1.03812,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,583.03,0.685866,678188,10,0,1,247.09,940768,0.289,0,15600,16510,2430,1296,1400,2625,1950,1040,5163643,14112870,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,583.022,0.608338,678188,10,0,3,1569.75,735152,0.196,0,11700,16770,7290,972,1050,7875,5850,780,3898774,33085905,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,583.038,0.745262,678188,10,0,1,1651.79,257022,0.159,0,15600,16510,2430,1296,1400,2625,1950,1040,5847389,3856680,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,582.876,0.576047,678188,10,0,4,1311.47,675111,0.133,0,9750,16900,9720,810,875,10500,7800,650,3403697,40512060,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,583.014,0.720542,678188,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,582.944,0.86313,678188,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,582.977,0.786945,678188,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,582.968,0.768383,678188,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,582.927,0.920088,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,582.919,0.919896,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,582.894,0.758638,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,582.986,0.797893,678188,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,582.935,0.891246,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,582.911,0.788867,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,582.903,0.700703,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,582.952,1.03812,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,583.03,0.685866,678188,10,0,1,247.09,940768,0.289,0,15600,16510,2430,1296,1400,2625,1950,1040,5163643,14112870,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,583.022,0.608338,678188,10,0,3,1569.75,735152,0.196,0,11700,16770,7290,972,1050,7875,5850,780,3898774,33085905,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,583.038,0.745262,678188,10,0,1,1651.79,257022,0.159,0,15600,16510,2430,1296,1400,2625,1950,1040,5847389,3856680,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,582.876,0.576047,678188,10,0,4,1311.47,675111,0.133,0,9750,16900,9720,810,875,10500,7800,650,3403697,40512060,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,583.014,0.720542,678188,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,582.944,0.86313,678188,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,582.977,0.786945,678188,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,582.968,0.768383,678188,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,582.927,0.920088,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,582.919,0.919896,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,582.894,0.758638,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,582.986,0.797893,678188,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,582.935,0.891246,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,582.911,0.788867,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,582.903,0.700703,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,582.952,1.03812,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,583.03,0.685866,678188,10,0,1,247.09,940768,0.289,0,15600,16510,2430,1296,1400,2625,1950,1040,5163643,14112870,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,583.022,0.608338,678188,10,0,3,1569.75,735152,0.196,0,11700,16770,7290,972,1050,7875,5850,780,3898774,33085905,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,583.038,0.745262,678188,10,0,1,1651.79,257022,0.159,0,15600,16510,2430,1296,1400,2625,1950,1040,5847389,3856680,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,582.876,0.576047,678188,10,0,4,1311.47,675111,0.133,0,9750,16900,9720,810,875,10500,7800,650,3403697,40512060,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,583.014,0.720542,678188,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,582.944,0.86313,678188,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,582.977,0.786945,678188,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,582.968,0.768383,678188,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,582.927,0.920088,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,582.919,0.919896,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,582.894,0.758638,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,582.986,0.797893,678188,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,582.935,0.891246,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,582.911,0.788867,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,582.903,0.700703,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,582.952,1.03812,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,583.03,0.685866,678188,10,0,1,247.09,940768,0.289,0,15600,16510,2430,1296,1400,2625,1950,1040,5163643,14112870,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,583.022,0.608338,678188,10,0,3,1569.75,735152,0.196,0,11700,16770,7290,972,1050,7875,5850,780,3898774,33085905,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,583.038,0.745262,678188,10,0,1,1651.79,257022,0.159,0,15600,16510,2430,1296,1400,2625,1950,1040,5847389,3856680,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,582.876,0.576047,678188,10,0,4,1311.47,675111,0.133,0,9750,16900,9720,810,875,10500,7800,650,3403697,40512060,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,583.014,0.720542,678188,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,582.944,0.86313,678188,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,582.977,0.786945,678188,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,582.968,0.768383,678188,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,582.927,0.920088,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,582.919,0.919896,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,582.894,0.758638,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,582.986,0.797893,678188,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,582.935,0.891246,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,582.911,0.788867,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
14,582.903,0.700703,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
15,582.952,1.03812,678188,10,0,0,0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,583.03,0.685866,678188,10,0,1,247.09,940768,0.289,0,15600,16510,2430,1296,1400,2625,1950,1040,5163643,14112870,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1,583.022,0.608338,678188,10,0,3,1569.75,735152,0.196,0,11700,16770,7290,972,1050,7875,5850,780,3898774,33085905,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2,583.038,0.745262,678188,10,0,1,1651.79,257022,0.159,0,15600,16510,2430,1296,1400,2625,1950,1040,5847389,3856680,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3,582.876,0.576047,678188,10,0,4,1311.47,675111,0.133,0,9750,16900,9720,810,875,10500,7800,650,3403697,40512060,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
4,583.014,0.720542,678188,10,0,0,0,0,0.066,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5,582.944,0.86313,678188,10,0,0,0,0,0.054,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
6,582.977,0.786945,678188,10,0,0,0,0,0.029,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
7,582.968,0.768383,678188,10,0,0,0,0,0.016,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
8,582.927,0.920088,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
9,582.919,0.919896,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
10,582.894,0.758638,678188,10,0,0,0,0,0.012,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
11,582.986,0.797893,678188,10,0,0,0,0,0.009,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,582.935,0.891246,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
13,582.911,0.788867,678188,10,0,0,0,0,0.005,0,17550,16380,0,1458,1575,0,0,1170,6104501,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
